Metric,iForest  (1),LOF  (1)
Composite F1 Score,0.4314,0.693
Point-wise F1 Score,0.2056,0.3427
Event-wise F1 Score,0.6667,0.8
Point-adjusted F1 Score,0.6872,0.8991
Composite F0.5 Score,0.3986,0.5852
Point-wise F0.5 Score,0.2835,0.435
Event-wise F0.5 Score,0.8333,0.7143
Point-adjusted F0.5 Score,0.7158,0.8478
Point-wise Precision,0.3793,0.5302
Event-wise Precision,1,0.6667
Point-adjusted Precision,0.7363,0.8168
Point-wise Recall,0.141,0.2532
Event-wise Recall,0.5,1
Point-adjusted Recall,0.6442,1
