Metric,iForest  (1),LOF  (1)
Composite F1 Score,0.4992,0.6447
Point-wise F1 Score,0.496,0.4734
Event-wise F1 Score,0.4,0.5714
Point-adjusted F1 Score,0.6018,0.7939
Composite F0.5 Score,0.4987,0.5315
Point-wise F0.5 Score,0.4974,0.4748
Event-wise F0.5 Score,0.3571,0.4545
Point-adjusted F0.5 Score,0.5789,0.7065
Point-wise Precision,0.4984,0.4757
Event-wise Precision,0.3333,0.4
Point-adjusted Precision,0.5646,0.6582
Point-wise Recall,0.4936,0.4712
Event-wise Recall,0.5,1
Point-adjusted Recall,0.6442,1
