Metric,FC AE  (1),MLP  (1),LOF  (1)
F1 Score (point-wise),0.3516,0.2994,0.5616
F1 Score (event-wise),0.2857,0.1667,0.5714
F1 Score (point-adjusted),0.6196,0.5489,0.6062
F1 Score (composite),0.4138,0.3469,0.5802
F0.5 Score (point-wise),0.3524,0.2781,0.4586
F0.5 Score (event-wise),0.2273,0.119,0.4545
F0.5 Score (point-adjusted),0.5655,0.476,0.4903
F0.5 Score (composite),0.375,0.293,0.4635
Precision (point-wise),0.3529,0.2655,0.4086
Precision (event-wise),0.2,0.1,0.4
Precision (point-adjusted),0.5344,0.4372,0.4349
Recall (point-wise),0.3504,0.3431,0.8978
Recall (event-wise),0.5,0.5,1
Recall (point-adjusted),0.7372,0.7372,1
