Metric,FC AE  (1),MLP  (1),LOF  (1)
F1 Score (point-wise),0.3504,0.2847,0.2126
F1 Score (event-wise),0.2857,0.2222,0.5714
F1 Score (point-adjusted),0.6177,0.6012,0.7527
F1 Score (composite),0.412,0.3628,0.375
F0.5 Score (point-wise),0.3504,0.2847,0.2231
F0.5 Score (event-wise),0.2273,0.1667,0.4545
F0.5 Score (point-adjusted),0.563,0.5413,0.6555
F0.5 Score (composite),0.3727,0.3115,0.2727
Precision (point-wise),0.3504,0.2847,0.2308
Precision (event-wise),0.2,0.1429,0.4
Precision (point-adjusted),0.5316,0.5075,0.6035
Recall (point-wise),0.3504,0.2847,0.1971
Recall (event-wise),0.5,0.5,1
Recall (point-adjusted),0.7372,0.7372,1
