Metric,iForest  (1),ABOD  (1)
F1 Score (point-wise),0.1828,0.1073
F1 Score (event-wise),1,1
F1 Score (point-adjusted),0.1875,0.1235
F1 Score (composite),0.1832,0.1082
F0.5 Score (point-wise),0.1229,0.0703
F0.5 Score (event-wise),1,1
F0.5 Score (point-adjusted),0.1261,0.0809
F0.5 Score (composite),0.123,0.0705
Precision (point-wise),0.1009,0.0572
Precision (event-wise),1,1
Precision (point-adjusted),0.1034,0.0658
Recall (point-wise),0.9722,0.8611
Recall (event-wise),1,1
Recall (point-adjusted),1,1
