Metric,iForest  (1),ABOD  (1)
F1 Score (point-wise),0.1096,0.1116
F1 Score (event-wise),0.5,0.5
F1 Score (point-adjusted),0.1096,0.1116
F1 Score (composite),0.1096,0.1116
F0.5 Score (point-wise),0.0781,0.0798
F0.5 Score (event-wise),0.7143,0.7143
F0.5 Score (point-adjusted),0.0781,0.0798
F0.5 Score (composite),0.0781,0.0798
Precision (point-wise),0.0656,0.067
Precision (event-wise),1,1
Precision (point-adjusted),0.0656,0.067
Recall (point-wise),0.3333,0.3333
Recall (event-wise),0.3333,0.3333
Recall (point-adjusted),0.3333,0.3333
