Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.7662,0.5502,0.0613
F1 Score (event-wise),0.5,0.5714,0.6667
F1 Score (point-adjusted),0.9492,0.7296,0.4807
F1 Score (composite),0.9277,0.6407,0.455
F0.5 Score (point-wise),0.8226,0.5,0.1404
F0.5 Score (event-wise),0.3846,0.4545,0.5556
F0.5 Score (point-adjusted),0.9211,0.6278,0.3665
F0.5 Score (composite),0.8891,0.5271,0.3428
Precision (point-wise),0.8652,0.4713,0.2945
Precision (event-wise),0.3333,0.4,0.5
Precision (point-adjusted),0.9032,0.5744,0.3164
Recall (point-wise),0.6875,0.6607,0.0316
Recall (event-wise),1,1,1
Recall (point-adjusted),1,1,1
