Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.163058823741618,0.264528646841887,0.270609765160092
F1 Score (event-wise),0.353553390593274,0.303065966416554,0.235678690169476
F1 Score (point-adjusted),0.0336582827844796,0.1576848122046,0.367200551470174
F1 Score (composite),0.0488610785799905,0.218708127420999,0.385373195746668
F0.5 Score (point-wise),0.121905209076561,0.291681547239451,0.141350645559191
F0.5 Score (event-wise),0.435153513142201,0.385726749137262,0.314238253559302
F0.5 Score (point-adjusted),0.0522551911296858,0.211071374184184,0.447952145881678
F0.5 Score (composite),0.0748826081276554,0.279448599924924,0.464710576595799
Precision (point-wise),0.0908632213824714,0.306530789644368,0.498863834127109
Precision (event-wise),0.471428091017071,0.424264068711929,0.353553390593274
Precision (point-adjusted),0.0639931636973826,0.236951482375612,0.483378195619124
Recall (point-wise),0.220970869120796,0.200889036535098,0.615324320988534
Recall (event-wise),0,0,0
Recall (point-adjusted),0,0,0
