Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.4134,0.6886,0.1786
F1 Score (event-wise),0.1176,0.25,0.3333
F1 Score (point-adjusted),0.6943,0.9152,0.6608
F1 Score (composite),0.5267,0.8704,0.2791
F0.5 Score (point-wise),0.3779,0.7355,0.1684
F0.5 Score (event-wise),0.0769,0.1724,0.2381
F0.5 Score (point-adjusted),0.5866,0.8708,0.5491
F0.5 Score (composite),0.4102,0.8076,0.1948
Precision (point-wise),0.3575,0.7705,0.1622
Precision (event-wise),0.0625,0.1429,0.2
Precision (point-adjusted),0.5317,0.8436,0.4935
Recall (point-wise),0.4901,0.6225,0.1987
Recall (event-wise),1,1,1
Recall (point-adjusted),1,1,1
