Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.48305,0.56655,0
F1 Score (event-wise),1,0.6818,0
F1 Score (point-adjusted),0.8995,0.65625,0
F1 Score (composite),0.7687,0.59385,0
F0.5 Score (point-wise),0.5501,0.5062,0
F0.5 Score (event-wise),1,0.6316,0
F0.5 Score (point-adjusted),0.84885,0.56885,0
F0.5 Score (composite),0.6763,0.51365,0
Precision (point-wise),0.6265,0.4755,0
Precision (event-wise),1,0.6111,0
Precision (point-adjusted),0.81825,0.5263,0
Recall (point-wise),0.4201,0.77315,0
Recall (event-wise),1,1,0
Recall (point-adjusted),1,1,0
