Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.3085,0.4346,0.1388
F1 Score (event-wise),0.1538,0.1333,0.25
F1 Score (point-adjusted),0.6439,0.6453,0.5207
F1 Score (composite),0.4099,0.5146,0.1871
F0.5 Score (point-wise),0.2759,0.377,0.115
F0.5 Score (event-wise),0.102,0.0877,0.1724
F0.5 Score (point-adjusted),0.5306,0.5321,0.4044
F0.5 Score (composite),0.3027,0.3986,0.1258
Precision (point-wise),0.2578,0.3465,0.1032
Precision (event-wise),0.0833,0.0714,0.1429
Precision (point-adjusted),0.4748,0.4763,0.352
Recall (point-wise),0.3841,0.5828,0.2119
Recall (event-wise),1,1,1
Recall (point-adjusted),1,1,1
