Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.6542,0.2957,NaN
F1 Score (event-wise),1,0.3636,NaN
F1 Score (point-adjusted),0.875,0.4444,NaN
F1 Score (composite),0.814,0.3269,NaN
F0.5 Score (point-wise),0.6731,0.2261,NaN
F0.5 Score (event-wise),1,0.2632,NaN
F0.5 Score (point-adjusted),0.814,0.3333,NaN
F0.5 Score (composite),0.7322,0.2329,NaN
Precision (point-wise),0.6863,0.1954,NaN
Precision (event-wise),1,0.2222,NaN
Precision (point-adjusted),0.7778,0.2857,NaN
Recall (point-wise),0.625,0.6071,0
Recall (event-wise),1,1,0
Recall (point-adjusted),1,1,0
