Metric,FC_AE_1,LOF_1
Computation Time (seconds),0.0100607752956636,NaN
F1 Score (point-wise),0.8465,0.2979
F1 Score (event-wise),0.875,1
F1 Score (point-adjusted),0.9509,0.2979
F1 Score (composite),0.9401,0.2979
F0.5 Score (point-wise),0.8703,0.2096
F0.5 Score (event-wise),0.814,1
F0.5 Score (point-adjusted),0.9238,0.2096
F0.5 Score (composite),0.9075,0.2096
Precision (point-wise),0.887,0.175
Precision (event-wise),0.7778,1
Precision (point-adjusted),0.9065,0.175
Recall (point-wise),0.8095,1
Recall (event-wise),1,1
Recall (point-adjusted),1,1
