timestamp,value,is_anomaly
0,-15.0,0
1,-23.0,0
2,-24.0,0
3,-19.0,0
4,-28.0,0
5,-24.0,0
6,-32.0,0
7,-28.0,0
8,-25.0,0
9,-27.0,0
10,-25.0,0
11,-21.0,0
12,-19.0,0
13,-17.0,0
14,-18.0,0
15,-15.0,0
16,-22.0,0
17,-17.0,0
18,-11.0,0
19,-10.0,0
20,-13.0,0
21,-19.0,0
22,-21.0,0
23,-16.0,0
24,-19.0,0
25,-20.0,0
26,-17.0,0
27,-19.0,0
28,-22.0,0
29,-14.0,0
30,-22.0,0
31,-16.0,0
32,-17.0,0
33,-15.0,0
34,-18.0,0
35,-20.0,0
36,-24.0,0
37,-21.0,0
38,-17.0,0
39,-11.0,0
40,-1.0,0
41,-1.0,0
42,-2.0,0
43,3.0,0
44,1.0,0
45,-15.0,0
46,-16.0,0
47,-15.0,0
48,-17.0,0
49,-22.0,0
50,-23.0,0
51,-10.0,0
52,-15.0,0
53,-14.0,0
54,-7.0,0
55,-16.0,0
56,19.0,0
57,132.0,0
58,253.0,0
59,249.0,0
60,110.0,0
61,-6.0,0
62,-23.0,0
63,-26.0,0
64,-29.0,0
65,-32.0,0
66,-35.0,0
67,-35.0,0
68,-26.0,0
69,-27.0,0
70,-31.0,0
71,-32.0,0
72,-31.0,0
73,-32.0,0
74,-28.0,0
75,-20.0,0
76,-22.0,0
77,-19.0,0
78,-19.0,0
79,-22.0,0
80,-15.0,0
81,-13.0,0
82,-5.0,0
83,-6.0,0
84,0.0,0
85,-2.0,0
86,5.0,0
87,8.0,0
88,10.0,0
89,36.0,0
90,23.0,0
91,47.0,0
92,43.0,0
93,54.0,0
94,59.0,0
95,59.0,0
96,57.0,0
97,45.0,0
98,31.0,0
99,16.0,0
100,1.0,0
101,-4.0,0
102,-1.0,0
103,-13.0,0
104,-17.0,0
105,-16.0,0
106,-24.0,0
107,-23.0,0
108,-19.0,0
109,-23.0,0
110,-19.0,0
111,-18.0,0
112,-18.0,0
113,-28.0,0
114,-10.0,0
115,-12.0,0
116,-16.0,0
117,-18.0,0
118,-15.0,0
119,-13.0,0
120,-11.0,0
121,-16.0,0
122,-15.0,0
123,-11.0,0
124,-22.0,0
125,-13.0,0
126,-20.0,0
127,-16.0,0
128,-15.0,0
129,-20.0,0
130,-11.0,0
131,-18.0,0
132,-16.0,0
133,-16.0,0
134,-25.0,0
135,-16.0,0
136,-20.0,0
137,-15.0,0
138,-7.0,0
139,-5.0,0
140,0.0,0
141,4.0,0
142,7.0,0
143,-1.0,0
144,-5.0,0
145,-13.0,0
146,-11.0,0
147,-15.0,0
148,-24.0,0
149,-15.0,0
150,-6.0,0
151,-14.0,0
152,-14.0,0
153,-12.0,0
154,-26.0,0
155,8.0,0
156,130.0,0
157,285.0,0
158,292.0,0
159,144.0,0
160,-7.0,0
161,-24.0,0
162,-30.0,0
163,-21.0,0
164,-45.0,0
165,-18.0,0
166,-24.0,0
167,-34.0,0
168,-32.0,0
169,-24.0,0
170,-22.0,0
171,-17.0,0
172,-35.0,0
173,-23.0,0
174,-17.0,0
175,-20.0,0
176,-24.0,0
177,-20.0,0
178,-22.0,0
179,-22.0,0
180,-6.0,0
181,-12.0,0
182,-9.0,0
183,-3.0,0
184,2.0,0
185,1.0,0
186,8.0,0
187,19.0,0
188,28.0,0
189,27.0,0
190,38.0,0
191,48.0,0
192,50.0,0
193,58.0,0
194,59.0,0
195,58.0,0
196,46.0,0
197,32.0,0
198,9.0,0
199,12.0,0
200,0.0,0
201,-14.0,0
202,-17.0,0
203,-23.0,0
204,-28.0,0
205,-14.0,0
206,-28.0,0
207,-17.0,0
208,-22.0,0
209,-24.0,0
210,-19.0,0
211,-28.0,0
212,-15.0,0
213,-20.0,0
214,-15.0,0
215,-19.0,0
216,-21.0,0
217,-21.0,0
218,-10.0,0
219,-18.0,0
220,-23.0,0
221,-10.0,0
222,-20.0,0
223,-24.0,0
224,-19.0,0
225,-23.0,0
226,-14.0,0
227,-19.0,0
228,-20.0,0
229,-23.0,0
230,-28.0,0
231,-21.0,0
232,-12.0,0
233,-20.0,0
234,-27.0,0
235,-18.0,0
236,-20.0,0
237,-26.0,0
238,-14.0,0
239,-11.0,0
240,0.0,0
241,3.0,0
242,-6.0,0
243,-10.0,0
244,-2.0,0
245,-6.0,0
246,-17.0,0
247,-26.0,0
248,-19.0,0
249,-15.0,0
250,-15.0,0
251,-19.0,0
252,-20.0,0
253,-11.0,0
254,-20.0,0
255,-28.0,0
256,59.0,0
257,226.0,0
258,330.0,0
259,271.0,0
260,101.0,0
261,-10.0,0
262,-19.0,0
263,-30.0,0
264,-29.0,0
265,-27.0,0
266,-36.0,0
267,-36.0,0
268,-37.0,0
269,-39.0,0
270,-31.0,0
271,-33.0,0
272,-33.0,0
273,-32.0,0
274,-35.0,0
275,-35.0,0
276,-30.0,0
277,-29.0,0
278,-25.0,0
279,-25.0,0
280,-24.0,0
